ID,Work Item Type,Title,Assigned To,State,Tags,Story Points,Parent,Created Date,Closed Date,Activated Date
1,User Story,Triple-buffered bandwidth-monitored customer loyalty,Loki Odinson <thor@avengers.com>,Closed,Design,2,Chatbot,4/16/2024 9:57:45 PM,5/8/2024 6:37:15 PM,5/5/2024 5:21:22 PM
2,Bug,Diverse bandwidth-monitored task-force,Anthony Stark <iamironman@avengers.com>,Closed,Frontend,5,Chatbot,4/22/2024 6:08:08 AM,5/4/2024 6:33:55 AM,5/1/2024 1:14:03 PM
3,User Story,Enterprise-wide fault-tolerant system engine,Natasha Romanov <1wDf1!@avengers.com>,Closed,Frontend,2,Data Governance Automation,4/24/2024 10:06:31 AM,5/9/2024 1:36:27 AM,5/4/2024 10:24:52 AM
4,User Story,Persevering static secured line,Anthony Stark <iamironman@avengers.com>,Closed,Backend,5,Chatbot,4/18/2024 6:01:07 AM,5/8/2024 1:29:32 PM,5/6/2024 9:07:31 PM
5,Bug,Synergized hybrid emulation,Thor Odinson <the_real_thor@avengers.com>,Closed,Backend,2,Data Governance Automation,4/17/2024 8:54:59 AM,5/3/2024 10:52:44 AM,5/6/2024 3:38:26 AM
6,User Story,Monitored systemic secured line,Loki Odinson <thor@avengers.com>,Closed,Frontend,3,Chatbot,4/15/2024 5:57:36 PM,5/3/2024 4:29:36 PM,5/1/2024 3:38:10 PM
7,User Story,Realigned foreground protocol,Loki Odinson <thor@avengers.com>,Closed,Design,5,Sentiment Analysis,4/19/2024 1:43:39 PM,5/5/2024 5:34:05 PM,5/7/2024 8:13:52 PM
8,User Story,Configurable coherent data-warehouse,Steve Rogers <steve.rogers@avengers.com>,On Hold,Design,21,Data Governance Automation,4/16/2024 12:37:29 PM,5/8/2024 6:26:17 AM,4/29/2024 2:25:27 PM
9,User Story,Self-enabling regional framework,Anthony Stark <iamironman@avengers.com>,Closed,Design,5,Sentiment Analysis,4/21/2024 5:58:08 AM,5/2/2024 1:21:55 AM,5/2/2024 1:22:01 PM
10,User Story,Multi-tiered client-server instruction set,Anthony Stark <iamironman@avengers.com>,Closed,Design,3,Chatbot,4/19/2024 9:22:29 AM,5/8/2024 8:15:15 PM,5/4/2024 1:06:58 AM
11,User Story,Triple-buffered transitional parallelism,Anthony Stark <iamironman@avengers.com>,Closed,Design,21,Chatbot,4/25/2024 10:19:58 PM,5/9/2024 12:28:40 AM,5/9/2024 4:24:02 AM
12,User Story,Optimized mission-critical website,Natasha Romanov <1wDf1!@avengers.com>,Closed,Frontend,8,Data Governance Automation,4/18/2024 1:53:05 AM,5/5/2024 6:09:28 PM,5/5/2024 11:00:46 PM
13,User Story,Streamlined demand-driven throughput,Thor Odinson <the_real_thor@avengers.com>,Closed,Frontend,5,Chatbot,4/18/2024 1:07:45 AM,5/1/2024 1:27:44 AM,4/29/2024 9:45:44 PM
14,User Story,Streamlined multimedia definition,Thor Odinson <the_real_thor@avengers.com>,Closed,Design,13,Data Governance Automation,4/21/2024 7:11:56 AM,5/1/2024 4:57:09 PM,5/1/2024 3:09:49 PM
15,User Story,Advanced contextually-based knowledge user,Anthony Stark <iamironman@avengers.com>,Closed,Backend,8,Chatbot,4/20/2024 3:59:47 AM,5/9/2024 12:09:15 AM,5/7/2024 4:37:10 AM
16,User Story,Universal mission-critical open system,Natasha Romanov <1wDf1!@avengers.com>,Closed,Design,3,Chatbot,4/17/2024 9:44:18 PM,5/4/2024 2:47:56 PM,5/7/2024 11:16:33 PM
17,Bug,Multi-channelled full-range superstructure,Loki Odinson <thor@avengers.com>,Closed,Backend,13,Sentiment Analysis,4/23/2024 9:48:01 AM,5/7/2024 1:28:13 AM,5/6/2024 3:42:12 AM
18,User Story,Self-enabling object-oriented ability,Steve Rogers <steve.rogers@avengers.com>,Closed,Design,5,Sentiment Analysis,4/24/2024 2:59:09 AM,5/9/2024 9:13:39 PM,5/4/2024 8:34:57 AM
19,User Story,Business-focused tangible instruction set,Steve Rogers <steve.rogers@avengers.com>,Closed,Design,3,Chatbot,4/22/2024 12:14:43 PM,5/8/2024 6:31:47 AM,4/29/2024 8:17:14 AM
20,User Story,Versatile executive matrices,Thor Odinson <the_real_thor@avengers.com>,Closed,Frontend,5,Data Governance Automation,4/19/2024 4:19:01 AM,5/7/2024 5:59:21 PM,5/4/2024 6:55:59 AM
21,User Story,Reduced context-sensitive implementation,Natasha Romanov <1wDf1!@avengers.com>,Closed,Design,3,Chatbot,4/16/2024 2:18:14 AM,5/3/2024 1:18:52 AM,5/6/2024 7:11:03 AM
22,User Story,Compatible methodical parallelism,Steve Rogers <steve.rogers@avengers.com>,Closed,Frontend,5,Sentiment Analysis,4/15/2024 9:09:55 PM,5/5/2024 6:52:46 PM,5/6/2024 3:11:30 PM
